params,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,mean_cv_mse,std_cv_mse,mean_cv_rmse,std_cv_rmse,mean_cv_mae,std_cv_mae,mean_cv_r2,std_cv_r2
"{'max_depth': 24, 'max_features': 0.4, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",24.0,0.4,1,3,500,41313671.7478196,11683350.96684655,6383.205155489995,923.3339244922696,2750.9968254791784,163.9180221382601,0.8923485630772565,0.02926951190751884
"{'max_depth': 28, 'max_features': 0.4, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",28.0,0.4,1,3,300,41369421.62242557,11944422.503668215,6386.09956121515,938.4727087187217,2729.3486207997953,170.0493534404397,0.8922035023479928,0.029959964121463085
"{'max_depth': 24, 'max_features': 0.4, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",24.0,0.4,1,3,300,41509815.8593451,11591932.556375105,6399.061996284519,918.0044338555464,2751.967758494644,158.8247602191782,0.8918382535683994,0.029017425653046686
"{'max_depth': 24, 'max_features': 0.4, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",24.0,0.4,1,2,300,41518597.5119634,11706484.70553191,6399.235432729726,923.3499242918083,2753.5865449443827,157.24001207982954,0.8918143351942641,0.029322630511161747
"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 500}",,0.3,2,3,500,44828838.59405831,12052691.75055063,6654.2407722220205,908.2276746689705,2839.8270088888494,162.76969442452227,0.883169922003867,0.030132437479428526
"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",,0.3,2,2,500,44828838.59405833,12052691.750550635,6654.240772222022,908.2276746689708,2839.8270088888494,162.76969442452227,0.883169922003867,0.030132437479428526
"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",,0.3,2,2,300,44892586.11053732,12284222.87112862,6657.520081059541,924.6722236768112,2842.066234604243,165.1598134117018,0.883007669862247,0.03073839261946489
"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 300}",,0.3,2,3,300,44892586.11053731,12284222.871128624,6657.520081059541,924.6722236768117,2842.066234604243,165.1598134117018,0.883007669862247,0.03073839261946489
"{'max_depth': 28, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",28.0,0.3,2,2,500,44891234.69403278,11842804.530104626,6660.145622510114,894.7303903904382,2846.0527871829017,158.7281634026972,0.8830060673861775,0.029573004654634236
"{'max_depth': 28, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 500}",28.0,0.3,2,3,500,44891234.69403278,11842804.530104622,6660.145622510114,894.7303903904377,2846.0527871829017,158.72816340269767,0.8830060673861776,0.029573004654634236
"{'max_depth': 28, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",28.0,0.3,2,2,300,44914397.58802909,11976963.446358351,6660.960114346651,904.9927705060472,2846.3164067665207,157.4585417555813,0.8829486543314321,0.02992358881739938
